source,target
Noah was brought a potato on a device by Thomas .,"bring . recipient ( x _ 2 , Noah ) AND bring . theme ( x _ 2 , x _ 4 ) AND bring . agent ( x _ 2 , Thomas ) AND potato ( x _ 4 ) AND potato . nmod . on ( x _ 4 , x _ 7 ) AND device ( x _ 7 )"
A leaf was offered to Avery .,"leaf ( x _ 1 ) AND offer . theme ( x _ 3 , x _ 1 ) AND offer . recipient ( x _ 3 , Avery )"
A cake was frozen by the cat .,"* cat ( x _ 6 ) ; cake ( x _ 1 ) AND freeze . theme ( x _ 3 , x _ 1 ) AND freeze . agent ( x _ 3 , x _ 6 )"
A flag was burned by a prisoner .,"flag ( x _ 1 ) AND burn . theme ( x _ 3 , x _ 1 ) AND burn . agent ( x _ 3 , x _ 6 ) AND prisoner ( x _ 6 )"
Emma awarded a bird the drink on the stool .,"* drink ( x _ 5 ) ; * stool ( x _ 8 ) ; award . agent ( x _ 1 , Emma ) AND award . recipient ( x _ 1 , x _ 3 ) AND award . theme ( x _ 1 , x _ 5 ) AND bird ( x _ 3 ) AND drink . nmod . on ( x _ 5 , x _ 8 )"
Emma liked that the teacher ate .,"* teacher ( x _ 4 ) ; like . agent ( x _ 1 , Emma ) AND like . ccomp ( x _ 1 , x _ 5 ) AND eat . agent ( x _ 5 , x _ 4 )"
A pen was given to the cat .,"* cat ( x _ 6 ) ; pen ( x _ 1 ) AND give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , x _ 6 )"
The bee thought that a rose was decomposed by Liam .,"* bee ( x _ 1 ) ; think . agent ( x _ 2 , x _ 1 ) AND think . ccomp ( x _ 2 , x _ 7 ) AND rose ( x _ 5 ) AND decompose . theme ( x _ 7 , x _ 5 ) AND decompose . agent ( x _ 7 , Liam )"
A girl rolled the hat .,"* hat ( x _ 4 ) ; girl ( x _ 1 ) AND roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 )"
Emma said that the cake inflated .,"* cake ( x _ 4 ) ; say . agent ( x _ 1 , Emma ) AND say . ccomp ( x _ 1 , x _ 5 ) AND inflate . theme ( x _ 5 , x _ 4 )"
A girl talked .,"girl ( x _ 1 ) AND talk . agent ( x _ 2 , x _ 1 )"
Emma heard a strawberry .,"hear . agent ( x _ 1 , Emma ) AND hear . theme ( x _ 1 , x _ 3 ) AND strawberry ( x _ 3 )"
A cake was snapped .,"cake ( x _ 1 ) AND snap . theme ( x _ 3 , x _ 1 )"
Emma adored the pumpkin .,"* pumpkin ( x _ 3 ) ; adore . agent ( x _ 1 , Emma ) AND adore . theme ( x _ 1 , x _ 3 )"
William was lended the raisin by the dog .,"* raisin ( x _ 4 ) ; * dog ( x _ 7 ) ; lend . recipient ( x _ 2 , William ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . agent ( x _ 2 , x _ 7 )"
Ava returned a cake to Emma .,"return . agent ( x _ 1 , Ava ) AND return . theme ( x _ 1 , x _ 3 ) AND return . recipient ( x _ 1 , Emma ) AND cake ( x _ 3 )"
The teacher forwarded the strawberry to a girl .,"* teacher ( x _ 1 ) ; * strawberry ( x _ 4 ) ; forward . agent ( x _ 2 , x _ 1 ) AND forward . theme ( x _ 2 , x _ 4 ) AND forward . recipient ( x _ 2 , x _ 7 ) AND girl ( x _ 7 )"
Oliver awarded the boy the shell .,"* boy ( x _ 3 ) ; * shell ( x _ 5 ) ; award . agent ( x _ 1 , Oliver ) AND award . recipient ( x _ 1 , x _ 3 ) AND award . theme ( x _ 1 , x _ 5 )"
A plant was painted .,"plant ( x _ 1 ) AND paint . theme ( x _ 3 , x _ 1 )"
Isabella rolled .,"roll . theme ( x _ 1 , Isabella )"
The cat burned a cake on a road .,"* cat ( x _ 1 ) ; burn . agent ( x _ 2 , x _ 1 ) AND burn . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod . on ( x _ 4 , x _ 7 ) AND road ( x _ 7 )"
The cake was shortened by Addison .,"* cake ( x _ 1 ) ; shorten . theme ( x _ 3 , x _ 1 ) AND shorten . agent ( x _ 3 , Addison )"
A donut was disintegrated by William .,"donut ( x _ 1 ) AND disintegrate . theme ( x _ 3 , x _ 1 ) AND disintegrate . agent ( x _ 3 , William )"
The child lended a banana in a pit to the boy .,"* child ( x _ 1 ) ; * boy ( x _ 10 ) ; lend . agent ( x _ 2 , x _ 1 ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . recipient ( x _ 2 , x _ 10 ) AND banana ( x _ 4 ) AND banana . nmod . in ( x _ 4 , x _ 7 ) AND pit ( x _ 7 )"
Aiden sold Liam a cookie .,"sell . agent ( x _ 1 , Aiden ) AND sell . recipient ( x _ 1 , Liam ) AND sell . theme ( x _ 1 , x _ 4 ) AND cookie ( x _ 4 )"
A girl lended the donut on the computer to Logan .,"* donut ( x _ 4 ) ; * computer ( x _ 7 ) ; girl ( x _ 1 ) AND lend . agent ( x _ 2 , x _ 1 ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . recipient ( x _ 2 , Logan ) AND donut . nmod . on ( x _ 4 , x _ 7 )"
A rose was liked by a teacher .,"rose ( x _ 1 ) AND like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , x _ 6 ) AND teacher ( x _ 6 )"
A cake was awarded to Liam .,"cake ( x _ 1 ) AND award . theme ( x _ 3 , x _ 1 ) AND award . recipient ( x _ 3 , Liam )"
The donut was found by the baby .,"* donut ( x _ 1 ) ; * baby ( x _ 6 ) ; find . theme ( x _ 3 , x _ 1 ) AND find . agent ( x _ 3 , x _ 6 )"
The nail was packed .,"* nail ( x _ 1 ) ; pack . theme ( x _ 3 , x _ 1 )"
The hammer was rolled .,"* hammer ( x _ 1 ) ; roll . theme ( x _ 3 , x _ 1 )"
The boy nursed a ball beside a table .,"* boy ( x _ 1 ) ; nurse . agent ( x _ 2 , x _ 1 ) AND nurse . theme ( x _ 2 , x _ 4 ) AND ball ( x _ 4 ) AND ball . nmod . beside ( x _ 4 , x _ 7 ) AND table ( x _ 7 )"
A donut was promised to a girl .,"donut ( x _ 1 ) AND promise . theme ( x _ 3 , x _ 1 ) AND promise . recipient ( x _ 3 , x _ 6 ) AND girl ( x _ 6 )"
Sebastian dreamed that a melon was eaten .,"dream . agent ( x _ 1 , Sebastian ) AND dream . ccomp ( x _ 1 , x _ 6 ) AND melon ( x _ 4 ) AND eat . theme ( x _ 6 , x _ 4 )"
The bat was posted to Olivia .,"* bat ( x _ 1 ) ; post . theme ( x _ 3 , x _ 1 ) AND post . recipient ( x _ 3 , Olivia )"
Amelia returned the horse the cake .,"* horse ( x _ 3 ) ; * cake ( x _ 5 ) ; return . agent ( x _ 1 , Amelia ) AND return . recipient ( x _ 1 , x _ 3 ) AND return . theme ( x _ 1 , x _ 5 )"
Emma liked that the ring was eaten by the cat .,"* ring ( x _ 4 ) ; * cat ( x _ 9 ) ; like . agent ( x _ 1 , Emma ) AND like . ccomp ( x _ 1 , x _ 6 ) AND eat . theme ( x _ 6 , x _ 4 ) AND eat . agent ( x _ 6 , x _ 9 )"
William painted a cake .,"paint . agent ( x _ 1 , William ) AND paint . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 )"
The girl painted a cake on the table .,"* girl ( x _ 1 ) ; * table ( x _ 7 ) ; paint . agent ( x _ 2 , x _ 1 ) AND paint . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod . on ( x _ 4 , x _ 7 )"
A tool was liked by Lincoln .,"tool ( x _ 1 ) AND like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , Lincoln )"
A dog loved to cook .,"dog ( x _ 1 ) AND love . agent ( x _ 2 , x _ 1 ) AND love . xcomp ( x _ 2 , x _ 4 ) AND cook . agent ( x _ 4 , x _ 1 )"
Liam liked that Lucas cleaned .,"like . agent ( x _ 1 , Liam ) AND like . ccomp ( x _ 1 , x _ 4 ) AND clean . agent ( x _ 4 , Lucas )"
Wyatt painted .,"paint . agent ( x _ 1 , Wyatt )"
The coin was liked by the child .,"* coin ( x _ 1 ) ; * child ( x _ 6 ) ; like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , x _ 6 )"
The boy rolled a bowl .,"* boy ( x _ 1 ) ; roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND bowl ( x _ 4 )"
Oliver liked that Noah discovered a boy .,"like . agent ( x _ 1 , Oliver ) AND like . ccomp ( x _ 1 , x _ 4 ) AND discover . agent ( x _ 4 , Noah ) AND discover . theme ( x _ 4 , x _ 6 ) AND boy ( x _ 6 )"
The strawberry was loved .,"* strawberry ( x _ 1 ) ; love . theme ( x _ 3 , x _ 1 )"
James offered a balloon beside the table to a dog .,"* table ( x _ 6 ) ; offer . agent ( x _ 1 , James ) AND offer . theme ( x _ 1 , x _ 3 ) AND offer . recipient ( x _ 1 , x _ 9 ) AND balloon ( x _ 3 ) AND balloon . nmod . beside ( x _ 3 , x _ 6 ) AND dog ( x _ 9 )"
The mandarin was eaten .,"* mandarin ( x _ 1 ) ; eat . theme ( x _ 3 , x _ 1 )"
The spoon was seen by the girl .,"* spoon ( x _ 1 ) ; * girl ( x _ 6 ) ; see . theme ( x _ 3 , x _ 1 ) AND see . agent ( x _ 3 , x _ 6 )"
The customer liked that a pig believed that a donut was liked by the girl .,"* customer ( x _ 1 ) ; * girl ( x _ 14 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 6 ) AND pig ( x _ 5 ) AND believe . agent ( x _ 6 , x _ 5 ) AND believe . ccomp ( x _ 6 , x _ 11 ) AND donut ( x _ 9 ) AND like . theme ( x _ 11 , x _ 9 ) AND like . agent ( x _ 11 , x _ 14 )"
The baby was offered a donut beside the table by Noah .,"* baby ( x _ 1 ) ; * table ( x _ 8 ) ; offer . recipient ( x _ 3 , x _ 1 ) AND offer . theme ( x _ 3 , x _ 5 ) AND offer . agent ( x _ 3 , Noah ) AND donut ( x _ 5 ) AND donut . nmod . beside ( x _ 5 , x _ 8 )"
Olivia lended a politician a game beside a cup in a room .,"lend . agent ( x _ 1 , Olivia ) AND lend . recipient ( x _ 1 , x _ 3 ) AND lend . theme ( x _ 1 , x _ 5 ) AND politician ( x _ 3 ) AND game ( x _ 5 ) AND game . nmod . beside ( x _ 5 , x _ 8 ) AND cup ( x _ 8 ) AND cup . nmod . in ( x _ 8 , x _ 11 ) AND room ( x _ 11 )"
The bowl was sketched .,"* bowl ( x _ 1 ) ; sketch . theme ( x _ 3 , x _ 1 )"
Layla said that Emma burned .,"say . agent ( x _ 1 , Layla ) AND say . ccomp ( x _ 1 , x _ 4 ) AND burn . theme ( x _ 4 , Emma )"
A wine was fed to a girl .,"wine ( x _ 1 ) AND feed . theme ( x _ 3 , x _ 1 ) AND feed . recipient ( x _ 3 , x _ 6 ) AND girl ( x _ 6 )"
A girl loved to run .,"girl ( x _ 1 ) AND love . agent ( x _ 2 , x _ 1 ) AND love . xcomp ( x _ 2 , x _ 4 ) AND run . agent ( x _ 4 , x _ 1 )"
The cat passed Abigail the ball .,"* cat ( x _ 1 ) ; * ball ( x _ 5 ) ; pass . agent ( x _ 2 , x _ 1 ) AND pass . recipient ( x _ 2 , Abigail ) AND pass . theme ( x _ 2 , x _ 5 )"
A cookie was sent to a girl .,"cookie ( x _ 1 ) AND send . theme ( x _ 3 , x _ 1 ) AND send . recipient ( x _ 3 , x _ 6 ) AND girl ( x _ 6 )"
The girl was given a cake beside the seat by Emma .,"* girl ( x _ 1 ) ; * seat ( x _ 8 ) ; give . recipient ( x _ 3 , x _ 1 ) AND give . theme ( x _ 3 , x _ 5 ) AND give . agent ( x _ 3 , Emma ) AND cake ( x _ 5 ) AND cake . nmod . beside ( x _ 5 , x _ 8 )"
Emma floated the box .,"* box ( x _ 3 ) ; float . agent ( x _ 1 , Emma ) AND float . theme ( x _ 1 , x _ 3 )"
Emma offered a girl a drink on the table .,"* table ( x _ 8 ) ; offer . agent ( x _ 1 , Emma ) AND offer . recipient ( x _ 1 , x _ 3 ) AND offer . theme ( x _ 1 , x _ 5 ) AND girl ( x _ 3 ) AND drink ( x _ 5 ) AND drink . nmod . on ( x _ 5 , x _ 8 )"
The cake was hunted .,"* cake ( x _ 1 ) ; hunt . theme ( x _ 3 , x _ 1 )"
Olivia gave Leo a box in the garden .,"* garden ( x _ 7 ) ; give . agent ( x _ 1 , Olivia ) AND give . recipient ( x _ 1 , Leo ) AND give . theme ( x _ 1 , x _ 4 ) AND box ( x _ 4 ) AND box . nmod . in ( x _ 4 , x _ 7 )"
The pen was slid by Jacob .,"* pen ( x _ 1 ) ; slide . theme ( x _ 3 , x _ 1 ) AND slide . agent ( x _ 3 , Jacob )"
A cracker was doubled .,"cracker ( x _ 1 ) AND double . theme ( x _ 3 , x _ 1 )"
The child talked .,"* child ( x _ 1 ) ; talk . agent ( x _ 2 , x _ 1 )"
The hamburger was liked .,"* hamburger ( x _ 1 ) ; like . theme ( x _ 3 , x _ 1 )"
A boy gave the cake on a gravel to a girl .,"* cake ( x _ 4 ) ; boy ( x _ 1 ) AND give . agent ( x _ 2 , x _ 1 ) AND give . theme ( x _ 2 , x _ 4 ) AND give . recipient ( x _ 2 , x _ 10 ) AND cake . nmod . on ( x _ 4 , x _ 7 ) AND gravel ( x _ 7 ) AND girl ( x _ 10 )"
The girl proved that a cake was seen .,"* girl ( x _ 1 ) ; prove . agent ( x _ 2 , x _ 1 ) AND prove . ccomp ( x _ 2 , x _ 7 ) AND cake ( x _ 5 ) AND see . theme ( x _ 7 , x _ 5 )"
The cake was pierced by Emma .,"* cake ( x _ 1 ) ; pierce . theme ( x _ 3 , x _ 1 ) AND pierce . agent ( x _ 3 , Emma )"
A girl was given a donut beside a stage by the chicken .,"* chicken ( x _ 11 ) ; girl ( x _ 1 ) AND give . recipient ( x _ 3 , x _ 1 ) AND give . theme ( x _ 3 , x _ 5 ) AND give . agent ( x _ 3 , x _ 11 ) AND donut ( x _ 5 ) AND donut . nmod . beside ( x _ 5 , x _ 8 ) AND stage ( x _ 8 )"
The donut was mailed to a chicken by the girl .,"* donut ( x _ 1 ) ; * girl ( x _ 9 ) ; mail . theme ( x _ 3 , x _ 1 ) AND mail . recipient ( x _ 3 , x _ 6 ) AND mail . agent ( x _ 3 , x _ 9 ) AND chicken ( x _ 6 )"
A customer was passed the rose .,"* rose ( x _ 5 ) ; customer ( x _ 1 ) AND pass . recipient ( x _ 3 , x _ 1 ) AND pass . theme ( x _ 3 , x _ 5 )"
Liam sketched a teacher .,"sketch . agent ( x _ 1 , Liam ) AND sketch . theme ( x _ 1 , x _ 3 ) AND teacher ( x _ 3 )"
A cat decomposed .,"cat ( x _ 1 ) AND decompose . theme ( x _ 2 , x _ 1 )"
Ava enlarged .,"enlarge . theme ( x _ 1 , Ava )"
Camila liked that the knife was helped by a researcher .,"* knife ( x _ 4 ) ; like . agent ( x _ 1 , Camila ) AND like . ccomp ( x _ 1 , x _ 6 ) AND help . theme ( x _ 6 , x _ 4 ) AND help . agent ( x _ 6 , x _ 9 ) AND researcher ( x _ 9 )"
A girl was given a cake in a house by Oliver .,"girl ( x _ 1 ) AND give . recipient ( x _ 3 , x _ 1 ) AND give . theme ( x _ 3 , x _ 5 ) AND give . agent ( x _ 3 , Oliver ) AND cake ( x _ 5 ) AND cake . nmod . in ( x _ 5 , x _ 8 ) AND house ( x _ 8 )"
The drink was lended to Isabella .,"* drink ( x _ 1 ) ; lend . theme ( x _ 3 , x _ 1 ) AND lend . recipient ( x _ 3 , Isabella )"
A cake was liked by Aria .,"cake ( x _ 1 ) AND like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , Aria )"
A crown was grown .,"crown ( x _ 1 ) AND grow . theme ( x _ 3 , x _ 1 )"
A turkey hoped that the cookie was eaten by Emma .,"* cookie ( x _ 5 ) ; turkey ( x _ 1 ) AND hope . agent ( x _ 2 , x _ 1 ) AND hope . ccomp ( x _ 2 , x _ 7 ) AND eat . theme ( x _ 7 , x _ 5 ) AND eat . agent ( x _ 7 , Emma )"
Joshua forwarded the cookie to the girl .,"* cookie ( x _ 3 ) ; * girl ( x _ 6 ) ; forward . agent ( x _ 1 , Joshua ) AND forward . theme ( x _ 1 , x _ 3 ) AND forward . recipient ( x _ 1 , x _ 6 )"
The doll was mailed to a boy by Harper .,"* doll ( x _ 1 ) ; mail . theme ( x _ 3 , x _ 1 ) AND mail . recipient ( x _ 3 , x _ 6 ) AND mail . agent ( x _ 3 , Harper ) AND boy ( x _ 6 )"
The champion helped the donut .,"* champion ( x _ 1 ) ; * donut ( x _ 4 ) ; help . agent ( x _ 2 , x _ 1 ) AND help . theme ( x _ 2 , x _ 4 )"
A wine was collapsed by the cow .,"* cow ( x _ 6 ) ; wine ( x _ 1 ) AND collapse . theme ( x _ 3 , x _ 1 ) AND collapse . agent ( x _ 3 , x _ 6 )"
A box snapped .,"box ( x _ 1 ) AND snap . theme ( x _ 2 , x _ 1 )"
A cookie was sold to the dog .,"* dog ( x _ 6 ) ; cookie ( x _ 1 ) AND sell . theme ( x _ 3 , x _ 1 ) AND sell . recipient ( x _ 3 , x _ 6 )"
A teacher sketched .,"teacher ( x _ 1 ) AND sketch . agent ( x _ 2 , x _ 1 )"
Noah rented the bat on the road to a girl .,"* bat ( x _ 3 ) ; * road ( x _ 6 ) ; rent . agent ( x _ 1 , Noah ) AND rent . theme ( x _ 1 , x _ 3 ) AND rent . recipient ( x _ 1 , x _ 9 ) AND bat . nmod . on ( x _ 3 , x _ 6 ) AND girl ( x _ 9 )"
John shortened the cake beside the table .,"* cake ( x _ 3 ) ; * table ( x _ 6 ) ; shorten . agent ( x _ 1 , John ) AND shorten . theme ( x _ 1 , x _ 3 ) AND cake . nmod . beside ( x _ 3 , x _ 6 )"
A journalist was given a liver .,"journalist ( x _ 1 ) AND give . recipient ( x _ 3 , x _ 1 ) AND give . theme ( x _ 3 , x _ 5 ) AND liver ( x _ 5 )"
A cake was offered to Emma by Savannah .,"cake ( x _ 1 ) AND offer . theme ( x _ 3 , x _ 1 ) AND offer . recipient ( x _ 3 , Emma ) AND offer . agent ( x _ 3 , Savannah )"
Caleb was given the pancake beside the table by a professor .,"* pancake ( x _ 4 ) ; * table ( x _ 7 ) ; give . recipient ( x _ 2 , Caleb ) AND give . theme ( x _ 2 , x _ 4 ) AND give . agent ( x _ 2 , x _ 10 ) AND pancake . nmod . beside ( x _ 4 , x _ 7 ) AND professor ( x _ 10 )"
The rose was snapped by the chicken .,"* rose ( x _ 1 ) ; * chicken ( x _ 6 ) ; snap . theme ( x _ 3 , x _ 1 ) AND snap . agent ( x _ 3 , x _ 6 )"
A drink was awarded to Olivia .,"drink ( x _ 1 ) AND award . theme ( x _ 3 , x _ 1 ) AND award . recipient ( x _ 3 , Olivia )"
A cat slid a donut beside the table beside the machine .,"* table ( x _ 7 ) ; * machine ( x _ 10 ) ; cat ( x _ 1 ) AND slide . agent ( x _ 2 , x _ 1 ) AND slide . theme ( x _ 2 , x _ 4 ) AND donut ( x _ 4 ) AND donut . nmod . beside ( x _ 4 , x _ 7 ) AND table . nmod . beside ( x _ 7 , x _ 10 )"
Luna rolled the human .,"* human ( x _ 3 ) ; roll . agent ( x _ 1 , Luna ) AND roll . theme ( x _ 1 , x _ 3 )"
A rose was sketched by a cat .,"rose ( x _ 1 ) AND sketch . theme ( x _ 3 , x _ 1 ) AND sketch . agent ( x _ 3 , x _ 6 ) AND cat ( x _ 6 )"
Charlotte declared that a cat wanted to talk .,"declare . agent ( x _ 1 , Charlotte ) AND declare . ccomp ( x _ 1 , x _ 5 ) AND cat ( x _ 4 ) AND want . agent ( x _ 5 , x _ 4 ) AND want . xcomp ( x _ 5 , x _ 7 ) AND talk . agent ( x _ 7 , x _ 4 )"
The customer painted the girl beside the computer .,"* customer ( x _ 1 ) ; * girl ( x _ 4 ) ; * computer ( x _ 7 ) ; paint . agent ( x _ 2 , x _ 1 ) AND paint . theme ( x _ 2 , x _ 4 ) AND girl . nmod . beside ( x _ 4 , x _ 7 )"
Emma proved that a citizen offered a frog a cake on the stage .,"* stage ( x _ 12 ) ; prove . agent ( x _ 1 , Emma ) AND prove . ccomp ( x _ 1 , x _ 5 ) AND citizen ( x _ 4 ) AND offer . agent ( x _ 5 , x _ 4 ) AND offer . recipient ( x _ 5 , x _ 7 ) AND offer . theme ( x _ 5 , x _ 9 ) AND frog ( x _ 7 ) AND cake ( x _ 9 ) AND cake . nmod . on ( x _ 9 , x _ 12 )"
The jigsaw was loved .,"* jigsaw ( x _ 1 ) ; love . theme ( x _ 3 , x _ 1 )"
A landlord hoped that the hippo decomposed .,"* hippo ( x _ 5 ) ; landlord ( x _ 1 ) AND hope . agent ( x _ 2 , x _ 1 ) AND hope . ccomp ( x _ 2 , x _ 6 ) AND decompose . theme ( x _ 6 , x _ 5 )"
A girl snored .,"girl ( x _ 1 ) AND snore . agent ( x _ 2 , x _ 1 )"
A cake was burned by John .,"cake ( x _ 1 ) AND burn . theme ( x _ 3 , x _ 1 ) AND burn . agent ( x _ 3 , John )"
Emma enlarged a doll beside the table .,"* table ( x _ 6 ) ; enlarge . agent ( x _ 1 , Emma ) AND enlarge . theme ( x _ 1 , x _ 3 ) AND doll ( x _ 3 ) AND doll . nmod . beside ( x _ 3 , x _ 6 )"
A girl noticed Olivia .,"girl ( x _ 1 ) AND notice . agent ( x _ 2 , x _ 1 ) AND notice . theme ( x _ 2 , Olivia )"
The donut was cleaned by the hen .,"* donut ( x _ 1 ) ; * hen ( x _ 6 ) ; clean . theme ( x _ 3 , x _ 1 ) AND clean . agent ( x _ 3 , x _ 6 )"
A liver was crumpled .,"liver ( x _ 1 ) AND crumple . theme ( x _ 3 , x _ 1 )"
Mia was handed a liver .,"hand . recipient ( x _ 2 , Mia ) AND hand . theme ( x _ 2 , x _ 4 ) AND liver ( x _ 4 )"
Nathan handed the child the cake .,"* child ( x _ 3 ) ; * cake ( x _ 5 ) ; hand . agent ( x _ 1 , Nathan ) AND hand . recipient ( x _ 1 , x _ 3 ) AND hand . theme ( x _ 1 , x _ 5 )"
The donut was seen by Sophia .,"* donut ( x _ 1 ) ; see . theme ( x _ 3 , x _ 1 ) AND see . agent ( x _ 3 , Sophia )"
A strawberry burned .,"strawberry ( x _ 1 ) AND burn . theme ( x _ 2 , x _ 1 )"
A soap was sold to Luke by the girl .,"* girl ( x _ 8 ) ; soap ( x _ 1 ) AND sell . theme ( x _ 3 , x _ 1 ) AND sell . recipient ( x _ 3 , Luke ) AND sell . agent ( x _ 3 , x _ 8 )"
The cookie was returned to Noah by Olivia .,"* cookie ( x _ 1 ) ; return . theme ( x _ 3 , x _ 1 ) AND return . recipient ( x _ 3 , Noah ) AND return . agent ( x _ 3 , Olivia )"
A flower was poked by a girl .,"flower ( x _ 1 ) AND poke . theme ( x _ 3 , x _ 1 ) AND poke . agent ( x _ 3 , x _ 6 ) AND girl ( x _ 6 )"
The knife was served to a lawyer by the lion .,"* knife ( x _ 1 ) ; * lion ( x _ 9 ) ; serve . theme ( x _ 3 , x _ 1 ) AND serve . recipient ( x _ 3 , x _ 6 ) AND serve . agent ( x _ 3 , x _ 9 ) AND lawyer ( x _ 6 )"
Liam rented Emma the donut .,"* donut ( x _ 4 ) ; rent . agent ( x _ 1 , Liam ) AND rent . recipient ( x _ 1 , Emma ) AND rent . theme ( x _ 1 , x _ 4 )"
A rose was given to Olivia by Luna .,"rose ( x _ 1 ) AND give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , Olivia ) AND give . agent ( x _ 3 , Luna )"
The cat found the block in a barrel .,"* cat ( x _ 1 ) ; * block ( x _ 4 ) ; find . agent ( x _ 2 , x _ 1 ) AND find . theme ( x _ 2 , x _ 4 ) AND block . nmod . in ( x _ 4 , x _ 7 ) AND barrel ( x _ 7 )"
A child attempted to smirk .,"child ( x _ 1 ) AND attempt . agent ( x _ 2 , x _ 1 ) AND attempt . xcomp ( x _ 2 , x _ 4 ) AND smirk . agent ( x _ 4 , x _ 1 )"
The cake was passed to Olivia .,"* cake ( x _ 1 ) ; pass . theme ( x _ 3 , x _ 1 ) AND pass . recipient ( x _ 3 , Olivia )"
The cake was floated by Ava .,"* cake ( x _ 1 ) ; float . theme ( x _ 3 , x _ 1 ) AND float . agent ( x _ 3 , Ava )"
A girl ate Evelyn .,"girl ( x _ 1 ) AND eat . agent ( x _ 2 , x _ 1 ) AND eat . theme ( x _ 2 , Evelyn )"
A doll was rolled by Henry .,"doll ( x _ 1 ) AND roll . theme ( x _ 3 , x _ 1 ) AND roll . agent ( x _ 3 , Henry )"
The strawberry was given to Mia .,"* strawberry ( x _ 1 ) ; give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , Mia )"
Noah helped Levi .,"help . agent ( x _ 1 , Noah ) AND help . theme ( x _ 1 , Levi )"
William drew Emma .,"draw . agent ( x _ 1 , William ) AND draw . theme ( x _ 1 , Emma )"
The sandwich was respected by Emma .,"* sandwich ( x _ 1 ) ; respect . theme ( x _ 3 , x _ 1 ) AND respect . agent ( x _ 3 , Emma )"
The boy froze .,"* boy ( x _ 1 ) ; freeze . theme ( x _ 2 , x _ 1 )"
Jack split a bat on the canvas .,"* canvas ( x _ 6 ) ; split . agent ( x _ 1 , Jack ) AND split . theme ( x _ 1 , x _ 3 ) AND bat ( x _ 3 ) AND bat . nmod . on ( x _ 3 , x _ 6 )"
A cake was appreciated .,"cake ( x _ 1 ) AND appreciate . theme ( x _ 3 , x _ 1 )"
The prince ate .,"* prince ( x _ 1 ) ; eat . agent ( x _ 2 , x _ 1 )"
The monster slept .,"* monster ( x _ 1 ) ; sleep . agent ( x _ 2 , x _ 1 )"
A girl drew a box .,"girl ( x _ 1 ) AND draw . agent ( x _ 2 , x _ 1 ) AND draw . theme ( x _ 2 , x _ 4 ) AND box ( x _ 4 )"
A baby craved to read .,"baby ( x _ 1 ) AND crave . agent ( x _ 2 , x _ 1 ) AND crave . xcomp ( x _ 2 , x _ 4 ) AND read . agent ( x _ 4 , x _ 1 )"
A monkey pierced a girl .,"monkey ( x _ 1 ) AND pierce . agent ( x _ 2 , x _ 1 ) AND pierce . theme ( x _ 2 , x _ 4 ) AND girl ( x _ 4 )"
Ellie gave Ava a donut in a house .,"give . agent ( x _ 1 , Ellie ) AND give . recipient ( x _ 1 , Ava ) AND give . theme ( x _ 1 , x _ 4 ) AND donut ( x _ 4 ) AND donut . nmod . in ( x _ 4 , x _ 7 ) AND house ( x _ 7 )"
A bottle was drawn by Sophia .,"bottle ( x _ 1 ) AND draw . theme ( x _ 3 , x _ 1 ) AND draw . agent ( x _ 3 , Sophia )"
The dog liked that the doctor inflated the girl .,"* dog ( x _ 1 ) ; * doctor ( x _ 5 ) ; * girl ( x _ 8 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 6 ) AND inflate . agent ( x _ 6 , x _ 5 ) AND inflate . theme ( x _ 6 , x _ 8 )"
The game was helped by Ava .,"* game ( x _ 1 ) ; help . theme ( x _ 3 , x _ 1 ) AND help . agent ( x _ 3 , Ava )"
A drink was sold to Owen .,"drink ( x _ 1 ) AND sell . theme ( x _ 3 , x _ 1 ) AND sell . recipient ( x _ 3 , Owen )"
A frog sold a knife to a boy .,"frog ( x _ 1 ) AND sell . agent ( x _ 2 , x _ 1 ) AND sell . theme ( x _ 2 , x _ 4 ) AND sell . recipient ( x _ 2 , x _ 7 ) AND knife ( x _ 4 ) AND boy ( x _ 7 )"
